topology,layout,permutation,input_port,output_port,route_status,failure_reason,physical_wiring_um,bend_count,crossing_count,physical_il_db,topology_il_db,il_delta_db,topology_wiring_um,wiring_delta_um,mrr_loss_db,sxr_db,n_logical,layer,perm_idx,seed
padded_benes_4x4,default,2-1-3-0,0,2,routed,,664.809725,15,8,3.355958,1.905339,1.450619,377.000000,287.809725,1.151339,11.271180,4,physical,0,42
padded_benes_4x4,default,2-1-3-0,1,1,routed,,915.247780,12,8,3.358787,1.574292,1.784496,453.000000,462.247780,0.668292,19.439827,4,physical,0,42
padded_benes_4x4,default,2-1-3-0,2,3,routed,,1092.225651,19,11,4.530790,1.977339,2.553451,413.000000,679.225651,1.151339,10.597570,4,physical,0,42
padded_benes_4x4,default,2-1-3-0,3,0,routed,,734.809725,15,5,3.679005,2.420385,1.258619,393.000000,341.809725,1.634385,7.561953,4,physical,0,42
padded_benes_4x4,default,3-2-0-1,0,3,routed,,734.809725,15,5,3.679005,2.420385,1.258619,393.000000,341.809725,1.634385,7.985623,4,physical,1,42
padded_benes_4x4,default,3-2-0-1,1,2,routed,,916.663706,16,5,4.047713,2.484385,1.563327,425.000000,491.663706,1.634385,7.921623,4,physical,1,42
padded_benes_4x4,default,3-2-0-1,2,0,routed,,591.393798,11,6,2.989126,1.905339,1.083788,377.000000,214.393798,1.151339,10.841876,4,physical,1,42
padded_benes_4x4,default,3-2-0-1,3,1,routed,,1012.663706,16,6,3.856666,2.033339,1.823327,441.000000,571.663706,1.151339,10.713876,4,physical,1,42
padded_benes_4x4,default,1-3-2-0,0,1,routed,,563.393798,11,3,2.633126,1.849339,0.783788,349.000000,214.393798,1.151339,11.501892,4,physical,2,42
padded_benes_4x4,default,1-3-2-0,1,3,failed,capped rip-up hop exhausted bounded candidates before A*: same-net avoidance candidate outside route window,,,,,2.033339,,441.000000,,1.151339,10.690639,4,physical,2,42
padded_benes_4x4,default,1-3-2-0,2,2,routed,,739.393798,11,5,2.702079,1.510292,1.191788,421.000000,318.393798,0.668292,19.209592,4,physical,2,42
padded_benes_4x4,default,1-3-2-0,3,0,routed,,884.663706,16,4,3.883713,2.484385,1.399327,425.000000,459.663706,1.634385,7.700826,4,physical,2,42
waksman_4x4,default,2-1-3-0,0,2,routed,,651.685835,9,6,2.876946,1.622575,1.254372,347.000000,304.685835,0.928575,11.797311,4,physical,0,42
waksman_4x4,default,2-1-3-0,1,1,routed,,915.247780,12,7,3.258787,1.574292,1.684496,453.000000,462.247780,0.668292,19.495029,4,physical,0,42
waksman_4x4,default,2-1-3-0,2,3,routed,,783.393798,11,6,3.150362,1.686575,1.463788,379.000000,404.393798,0.928575,11.082975,4,physical,0,42
waksman_4x4,default,2-1-3-0,3,0,routed,,712.809725,15,5,3.635005,2.420385,1.214619,393.000000,319.809725,1.634385,7.566281,4,physical,0,42
waksman_4x4,default,3-2-0-1,0,3,routed,,697.247780,12,3,3.166117,2.193621,0.972496,391.000000,306.247780,1.411621,7.911880,4,physical,1,42
waksman_4x4,default,3-2-0-1,1,2,routed,,639.247780,12,3,3.050117,2.137621,0.912496,363.000000,276.247780,1.411621,7.972332,4,physical,1,42
waksman_4x4,default,3-2-0-1,2,0,routed,,621.393798,11,8,3.249126,1.905339,1.343788,377.000000,244.393798,1.151339,11.280214,4,physical,1,42
waksman_4x4,default,3-2-0-1,3,1,routed,,1056.371669,18,8,4.154082,2.033339,2.120743,441.000000,615.371669,1.151339,11.161267,4,physical,1,42
waksman_4x4,default,1-3-2-0,0,1,routed,,563.393798,11,5,2.833126,1.849339,0.983788,349.000000,214.393798,1.151339,11.501892,4,physical,2,42
waksman_4x4,default,1-3-2-0,1,3,routed,,759.539816,10,4,2.897654,1.742575,1.155080,407.000000,352.539816,0.928575,11.215920,4,physical,2,42
waksman_4x4,default,1-3-2-0,2,2,routed,,695.685835,9,6,2.481900,1.227528,1.254372,391.000000,304.685835,0.445528,21.027302,4,physical,2,42
waksman_4x4,default,1-3-2-0,3,0,routed,,884.663706,16,5,3.983713,2.484385,1.499327,425.000000,459.663706,1.634385,7.709900,4,physical,2,42
spanke_benes_4x4,default,2-1-3-0,0,2,routed,,1100.809725,15,6,4.733769,3.135149,1.598619,639.000000,461.809725,1.857149,6.950375,4,physical,0,42
spanke_benes_4x4,default,2-1-3-0,1,1,routed,,781.831853,8,4,3.638049,2.712385,0.925664,539.000000,242.831853,1.634385,7.815852,4,physical,0,42
spanke_benes_4x4,default,2-1-3-0,2,3,routed,,935.539816,10,3,3.149654,2.126575,1.023080,599.000000,336.539816,0.928575,10.667698,4,physical,0,42
spanke_benes_4x4,default,2-1-3-0,3,0,routed,,974.809725,15,3,4.442052,3.339432,1.102619,611.000000,363.809725,2.117432,5.648899,4,physical,0,42
spanke_benes_4x4,default,3-2-0-1,0,3,routed,,966.955743,14,3,4.421344,3.339432,1.081911,611.000000,355.955743,2.117432,4.899655,4,physical,1,42
