topology,layout,permutation,route_status,paths,routed_paths,failed_paths,drc_violation_count,crossing_count,braid_pair_count,max_pair_crossing_count,repeated_crossing_pairs,topology_wiring_um,physical_wiring_um,wiring_delta_um,topology_worst_il_db,physical_worst_il_db,worst_il_delta_db,avg_il_delta_db,grid_pitch_um,grid_merge_tol_um,min_spacing_um,mrr_keepout_um,port_escape_um,crossing_penalty_um,turn_guard_um,turn_timing_penalty_um,backtrack_penalty_um,hairpin_penalty_um,loss_aware_cost,prop_loss_db_per_um,bend_loss_db_per_bend,crossing_loss_db_per_cross,repeated_crossing_loss_db,jog_penalty_db,bend_placement_penalty_db,max_astar_pops,ripup_max_astar_pops,local_repair_max_shift_tracks,route_window_max_detour_tracks,effective_route_window_slack_um,grid_margin_tracks,stage_pitch_um,wire_pitch_um,x_start_um,x_end_um,astar_calls,ripup_passes,ripup_passes_executed,early_stop_enabled,early_stopped,n_logical,layer,perm_idx,seed,runtime_s,failure_rate
padded_benes_4x4,default,2-1-3-0,routed,4,4,0,0,16,5,5,I0-I1:2;I0-I2:5;I1-I2:4;I1-I3:2;I2-I3:2,1636.000000,3407.092880,1771.092880,2.420385,4.530790,2.110405,1.761796,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,False,0.002,0.005,0.1,0.0,0.0,0.0,20000,10000,16,12,101.0,12,105.0,36.0,20.0,365.000000,7,3,1,True,False,4,physical,0,42,1.413655,0.0
padded_benes_4x4,default,3-2-0-1,routed,4,4,0,0,11,2,4,I0-I1:3;I2-I3:4,1636.000000,3255.530935,1619.530935,2.484385,4.047713,1.563327,1.432265,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,False,0.002,0.005,0.1,0.0,0.0,0.0,20000,10000,16,12,101.0,12,105.0,36.0,20.0,365.000000,5,3,1,True,False,4,physical,1,42,0.536816,0.0
padded_benes_4x4,default,1-3-2-0,failed,4,3,1,0,6,2,3,I0-I2:2;I2-I3:3,1636.000000,2187.451302,551.451302,2.484385,3.883713,1.399327,1.124968,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,False,0.002,0.005,0.1,0.0,0.0,0.0,20000,10000,16,12,101.0,12,105.0,36.0,20.0,365.000000,6,3,4,True,True,4,physical,2,42,2.042194,0.25
waksman_4x4,default,2-1-3-0,routed,4,4,0,0,12,5,3,I0-I1:3;I0-I2:2;I1-I2:2;I1-I3:2;I2-I3:2,1572.000000,3063.137137,1491.137137,2.420385,3.635005,1.214619,1.404319,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,False,0.002,0.005,0.1,0.0,0.0,0.0,20000,10000,16,12,101.0,12,105.0,36.0,20.0,365.000000,11,3,2,True,False,4,physical,0,42,1.464901,0.0
waksman_4x4,default,3-2-0-1,routed,4,4,0,0,11,1,6,I2-I3:6,1572.000000,2984.261027,1412.261027,2.193621,4.154082,1.960460,1.322381,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,False,0.002,0.005,0.1,0.0,0.0,0.0,20000,10000,16,12,101.0,12,105.0,36.0,20.0,365.000000,4,3,1,True,False,4,physical,1,42,0.704965,0.0
waksman_4x4,default,1-3-2-0,routed,4,4,0,0,10,3,3,I0-I1:2;I0-I2:2;I2-I3:3,1572.000000,2903.283155,1331.283155,2.484385,3.983713,1.499327,1.223142,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,False,0.002,0.005,0.1,0.0,0.0,0.0,20000,10000,16,12,101.0,12,105.0,36.0,20.0,365.000000,3,3,1,True,False,4,physical,2,42,0.479754,0.0
spanke_benes_4x4,default,2-1-3-0,routed,4,4,0,0,8,2,3,I0-I1:3;I0-I2:2,2388.000000,3792.991118,1404.991118,3.339432,4.733769,1.394337,1.162496,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,False,0.002,0.005,0.1,0.0,0.0,0.0,20000,10000,16,12,101.0,12,105.0,36.0,20.0,575.000000,3,3,1,True,False,4,physical,0,42,0.724549,0.0
spanke_benes_4x4,default,3-2-0-1,routed,4,4,0,0,7,1,2,I2-I3:2,2388.000000,3802.407045,1414.407045,3.339432,4.421344,1.081911,1.122204,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,False,0.002,0.005,0.1,0.0,0.0,0.0,20000,10000,16,12,101.0,12,105.0,36.0,20.0,575.000000,2,3,1,True,False,4,physical,1,42,0.346533,0.0
spanke_benes_4x4,default,1-3-2-0,routed,4,4,0,0,8,2,2,I0-I1:2;I0-I2:2,2388.000000,3790.991118,1402.991118,3.339432,4.442052,1.102619,1.161496,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,False,0.002,0.005,0.1,0.0,0.0,0.0,20000,10000,16,12,101.0,12,105.0,36.0,20.0,575.000000,3,3,1,True,False,4,physical,2,42,0.659123,0.0
padded_benes_8x8,default,3-1-2-4-0,failed,5,4,1,0,16,5,4,I0-I1:2;I0-I2:4;I0-I3:2;I1-I2:4;I2-I3:3,3603.000000,5382.566310,1779.566310,4.072960,6.527612,2.454652,2.152283,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,False,0.002,0.005,0.1,0.0,0.0,0.0,20000,10000,16,12,101.0,12,105.0,36.0,20.0,575.000000,14,3,4,True,True,5,physical,0,42,8.048687,0.2
padded_benes_8x8,default,3-2-0-4-1,routed,5,5,0,0,22,7,4,I0-I1:3;I0-I2:3;I0-I3:2;I1-I2:3;I1-I3:2;I2-I3:4;I2-I4:2,3603.000000,6701.915851,3098.915851,4.468007,7.045243,2.577236,2.236566,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,False,0.002,0.005,0.1,0.0,0.0,0.0,20000,10000,16,12,101.0,12,105.0,36.0,20.0,575.000000,10,3,1,True,False,5,physical,1,42,5.161562,0.0
padded_benes_8x8,default,3-1-2-0-4,routed,5,5,0,0,29,10,4,I0-I1:3;I0-I2:3;I0-I3:3;I0-I4:2;I1-I2:4;I1-I3:3;I1-I4:2;I2-I3:3;I2-I4:4;I3-I4:2,3699.000000,6500.690200,2801.690200,3.693913,7.023612,3.329699,2.378676,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,False,0.002,0.005,0.1,0.0,0.0,0.0,20000,10000,16,12,101.0,12,105.0,36.0,20.0,575.000000,11,3,1,True,False,5,physical,2,42,6.052553,0.0
waksman_5x5,default,3-1-2-4-0,failed,5,4,1,0,17,5,5,I0-I1:5;I0-I2:3;I0-I4:3;I1-I2:2;I1-I4:3,3103.000000,4443.384916,1340.384916,3.391432,5.571185,2.179753,1.912442,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,False,0.002,0.005,0.1,0.0,0.0,0.0,20000,10000,16,12,101.0,12,105.0,36.0,20.0,575.000000,10,3,4,True,True,5,physical,0,42,5.158202,0.2
waksman_5x5,default,3-2-0-4-1,routed,5,5,0,0,19,5,5,I0-I1:5;I0-I3:3;I1-I3:2;I2-I3:2;I2-I4:2,3103.000000,5405.172512,2302.172512,3.391432,5.480601,2.089168,1.761869,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,False,0.002,0.005,0.1,0.0,0.0,0.0,20000,10000,16,12,101.0,12,105.0,36.0,20.0,575.000000,5,3,1,True,False,5,physical,1,42,1.852303,0.0
waksman_5x5,default,3-1-2-0-4,failed,5,4,1,0,12,5,4,I1-I2:2;I1-I3:4;I2-I3:2;I2-I4:2;I3-I4:2,3103.000000,4568.946861,1465.946861,3.365913,5.283433,1.917519,1.731973,8.0,3.5,4.0,6.0,10.0,20.0,16.0,48.0,80.0,200.0,False,0.002,0.005,0.1,0.0,0.0,0.0,20000,10000,16,12,101.0,12,105.0,36.0,20.0,575.000000,22,3,3,True,True,5,physical,2,42,31.106491,0.2
